集計年,都道府県コード,都道府県名,地域コード,地域名,国コード,国名,現地法人企業数_増減率（％）
1995,26,京都府,2,ヨーロッパ州,218,スペイン,-
1995,26,京都府,2,ヨーロッパ州,220,イタリア,-
1995,26,京都府,2,ヨーロッパ州,225,オーストリア,-
1995,26,京都府,3,北アメリカ州,302,カナダ,-
1995,26,京都府,3,北アメリカ州,304,アメリカ合衆国,-
1995,26,京都府,3,北アメリカ州,305,メキシコ,-
1995,26,京都府,4,南アメリカ州,410,ブラジル,-
1995,26,京都府,6,大洋州,601,オーストラリア,-
1995,27,大阪府,1,アジア州,103,大韓民国,-
1995,27,大阪府,1,アジア州,105,中華人民共和国,-
1995,27,大阪府,1,アジア州,106,台湾,-
1995,27,大阪府,1,アジア州,108,香港,-
1995,27,大阪府,1,アジア州,110,ベトナム,-
1995,27,大阪府,1,アジア州,111,タイ,-
1995,27,大阪府,1,アジア州,112,シンガポール,-
1995,27,大阪府,1,アジア州,113,マレーシア,-
1995,27,大阪府,1,アジア州,117,フィリピン,-
1995,27,大阪府,1,アジア州,118,インドネシア,-
1995,27,大阪府,1,アジア州,123,インド,-
1995,27,大阪府,1,アジア州,133,イラン,-
1995,27,大阪府,2,ヨーロッパ州,202,ノルウェー,-
1995,27,大阪府,2,ヨーロッパ州,203,スウェーデン,-
1995,27,大阪府,2,ヨーロッパ州,204,デンマーク,-
1995,27,大阪府,2,ヨーロッパ州,205,英国,-
1995,27,大阪府,2,ヨーロッパ州,206,アイルランド,-
1995,27,大阪府,2,ヨーロッパ州,207,オランダ,-
1995,27,大阪府,2,ヨーロッパ州,208,ベルギー,-
1995,27,大阪府,2,ヨーロッパ州,210,フランス,-
1995,27,大阪府,2,ヨーロッパ州,213,ドイツ,-
1995,27,大阪府,2,ヨーロッパ州,215,スイス,-
1995,27,大阪府,2,ヨーロッパ州,217,ポルトガル,-
1995,27,大阪府,2,ヨーロッパ州,218,スペイン,-
1995,27,大阪府,2,ヨーロッパ州,220,イタリア,-
1995,27,大阪府,2,ヨーロッパ州,222,フィンランド,-
1995,27,大阪府,2,ヨーロッパ州,223,ポーランド,-
1995,27,大阪府,2,ヨーロッパ州,225,オーストリア,-
1995,27,大阪府,2,ヨーロッパ州,227,ハンガリー,-
1995,27,大阪府,2,ヨーロッパ州,231,ルーマニア,-
1995,27,大阪府,2,ヨーロッパ州,288,旧ソ連,-
1995,27,大阪府,2,ヨーロッパ州,299,その他のヨーロッパ,-
1995,27,大阪府,3,北アメリカ州,302,カナダ,-
1995,27,大阪府,3,北アメリカ州,304,アメリカ合衆国,-
1995,27,大阪府,3,北アメリカ州,305,メキシコ,-
1995,27,大阪府,3,北アメリカ州,306,グアテマラ,-
1995,27,大阪府,3,北アメリカ州,309,エルサルバドル,-
1995,27,大阪府,3,北アメリカ州,311,コスタリカ,-
1995,27,大阪府,3,北アメリカ州,312,パナマ,-
1995,27,大阪府,4,南アメリカ州,402,ベネズエラ,-
1995,27,大阪府,4,南アメリカ州,407,ペルー,-
1995,27,大阪府,4,南アメリカ州,410,ブラジル,-
1995,27,大阪府,4,南アメリカ州,413,アルゼンチン,-
1995,27,大阪府,5,アフリカ州,516,コートジボワール,-
1995,27,大阪府,5,アフリカ州,517,ガーナ,-
1995,27,大阪府,5,アフリカ州,524,ナイジェリア,-
1995,27,大阪府,5,アフリカ州,541,ケニア,-
1995,27,大阪府,5,アフリカ州,543,タンザニア,-
1995,27,大阪府,6,大洋州,601,オーストラリア,-
1995,27,大阪府,6,大洋州,606,ニュージーランド,-
1995,28,兵庫県,1,アジア州,103,大韓民国,-
1995,28,兵庫県,1,アジア州,105,中華人民共和国,-
1995,28,兵庫県,1,アジア州,106,台湾,-
1995,28,兵庫県,1,アジア州,108,香港,-
1995,28,兵庫県,1,アジア州,110,ベトナム,-
1995,28,兵庫県,1,アジア州,111,タイ,-
1995,28,兵庫県,1,アジア州,112,シンガポール,-
1995,28,兵庫県,1,アジア州,113,マレーシア,-
1995,28,兵庫県,1,アジア州,117,フィリピン,-
1995,28,兵庫県,1,アジア州,118,インドネシア,-
