集計年,都道府県コード,都道府県名,地域コード,地域名,国コード,国名,産業大分類コード,産業大分類名,現地法人企業数（社）
1995,13,東京都,1,アジア州,143,イスラエル,E,製造業,2
1995,13,東京都,1,アジア州,143,イスラエル,R,サービス業（他に分類されないもの）,1
1995,13,東京都,1,アジア州,146,レバノン,E,製造業,1
1995,13,東京都,1,アジア州,147,アラブ首長国連邦,C,鉱業，採石業，砂利採取業,4
1995,13,東京都,1,アジア州,147,アラブ首長国連邦,E,製造業,1
1995,13,東京都,1,アジア州,147,アラブ首長国連邦,H,運輸業，郵便業,1
1995,13,東京都,1,アジア州,147,アラブ首長国連邦,I,卸売業，小売業,3
1995,13,東京都,1,アジア州,147,アラブ首長国連邦,R,サービス業（他に分類されないもの）,1
1995,13,東京都,1,アジア州,188,その他のアジア,C,鉱業，採石業，砂利採取業,1
1995,13,東京都,1,アジア州,188,その他のアジア,H,運輸業，郵便業,1
1995,13,東京都,1,アジア州,188,その他のアジア,I,卸売業，小売業,1
1995,13,東京都,1,アジア州,188,その他のアジア,M,宿泊業，飲食サービス業,1
1995,13,東京都,1,アジア州,188,その他のアジア,N,生活関連サービス業，娯楽業,1
1995,13,東京都,1,アジア州,199,その他の中東,E,製造業,1
1995,13,東京都,2,ヨーロッパ州,202,ノルウェー,C,鉱業，採石業，砂利採取業,1
1995,13,東京都,2,ヨーロッパ州,202,ノルウェー,I,卸売業，小売業,5
1995,13,東京都,2,ヨーロッパ州,203,スウェーデン,E,製造業,7
1995,13,東京都,2,ヨーロッパ州,203,スウェーデン,I,卸売業，小売業,9
1995,13,東京都,2,ヨーロッパ州,204,デンマーク,E,製造業,4
1995,13,東京都,2,ヨーロッパ州,204,デンマーク,I,卸売業，小売業,1
1995,13,東京都,2,ヨーロッパ州,204,デンマーク,J,金融業，保険業,2
1995,13,東京都,2,ヨーロッパ州,205,英国,A,農業，林業,1
1995,13,東京都,2,ヨーロッパ州,205,英国,B,漁業,1
1995,13,東京都,2,ヨーロッパ州,205,英国,C,鉱業，採石業，砂利採取業,5
1995,13,東京都,2,ヨーロッパ州,205,英国,D,建設業,13
1995,13,東京都,2,ヨーロッパ州,205,英国,E,製造業,108
1995,13,東京都,2,ヨーロッパ州,205,英国,F,電気・ガス・熱供給・水道業,4
1995,13,東京都,2,ヨーロッパ州,205,英国,G,情報通信業,8
1995,13,東京都,2,ヨーロッパ州,205,英国,H,運輸業，郵便業,12
1995,13,東京都,2,ヨーロッパ州,205,英国,I,卸売業，小売業,85
1995,13,東京都,2,ヨーロッパ州,205,英国,J,金融業，保険業,35
1995,13,東京都,2,ヨーロッパ州,205,英国,K,不動産業，物品賃貸業,16
1995,13,東京都,2,ヨーロッパ州,205,英国,L,学術研究，専門・技術サービス業,4
1995,13,東京都,2,ヨーロッパ州,205,英国,M,宿泊業，飲食サービス業,3
1995,13,東京都,2,ヨーロッパ州,205,英国,N,生活関連サービス業，娯楽業,10
1995,13,東京都,2,ヨーロッパ州,205,英国,R,サービス業（他に分類されないもの）,22
1995,13,東京都,2,ヨーロッパ州,206,アイルランド,C,鉱業，採石業，砂利採取業,1
1995,13,東京都,2,ヨーロッパ州,206,アイルランド,E,製造業,5
1995,13,東京都,2,ヨーロッパ州,206,アイルランド,I,卸売業，小売業,3
1995,13,東京都,2,ヨーロッパ州,206,アイルランド,J,金融業，保険業,3
1995,13,東京都,2,ヨーロッパ州,206,アイルランド,K,不動産業，物品賃貸業,1
1995,13,東京都,2,ヨーロッパ州,206,アイルランド,R,サービス業（他に分類されないもの）,1
1995,13,東京都,2,ヨーロッパ州,207,オランダ,A,農業，林業,1
1995,13,東京都,2,ヨーロッパ州,207,オランダ,C,鉱業，採石業，砂利採取業,1
1995,13,東京都,2,ヨーロッパ州,207,オランダ,D,建設業,1
1995,13,東京都,2,ヨーロッパ州,207,オランダ,E,製造業,38
1995,13,東京都,2,ヨーロッパ州,207,オランダ,G,情報通信業,3
1995,13,東京都,2,ヨーロッパ州,207,オランダ,H,運輸業，郵便業,14
1995,13,東京都,2,ヨーロッパ州,207,オランダ,I,卸売業，小売業,41
1995,13,東京都,2,ヨーロッパ州,207,オランダ,J,金融業，保険業,38
1995,13,東京都,2,ヨーロッパ州,207,オランダ,K,不動産業，物品賃貸業,2
1995,13,東京都,2,ヨーロッパ州,207,オランダ,L,学術研究，専門・技術サービス業,1
1995,13,東京都,2,ヨーロッパ州,207,オランダ,M,宿泊業，飲食サービス業,2
1995,13,東京都,2,ヨーロッパ州,207,オランダ,N,生活関連サービス業，娯楽業,1
1995,13,東京都,2,ヨーロッパ州,207,オランダ,R,サービス業（他に分類されないもの）,17
1995,13,東京都,2,ヨーロッパ州,208,ベルギー,E,製造業,28
1995,13,東京都,2,ヨーロッパ州,208,ベルギー,G,情報通信業,1
1995,13,東京都,2,ヨーロッパ州,208,ベルギー,H,運輸業，郵便業,1
1995,13,東京都,2,ヨーロッパ州,208,ベルギー,I,卸売業，小売業,27
1995,13,東京都,2,ヨーロッパ州,208,ベルギー,J,金融業，保険業,2
1995,13,東京都,2,ヨーロッパ州,208,ベルギー,L,学術研究，専門・技術サービス業,1
1995,13,東京都,2,ヨーロッパ州,208,ベルギー,R,サービス業（他に分類されないもの）,2
1995,13,東京都,2,ヨーロッパ州,209,ルクセンブルク,E,製造業,3
1995,13,東京都,2,ヨーロッパ州,209,ルクセンブルク,I,卸売業，小売業,1
1995,13,東京都,2,ヨーロッパ州,209,ルクセンブルク,J,金融業，保険業,5
1995,13,東京都,2,ヨーロッパ州,210,フランス,D,建設業,1
1995,13,東京都,2,ヨーロッパ州,210,フランス,E,製造業,48
1995,13,東京都,2,ヨーロッパ州,210,フランス,H,運輸業，郵便業,4
1995,13,東京都,2,ヨーロッパ州,210,フランス,I,卸売業，小売業,53
1995,13,東京都,2,ヨーロッパ州,210,フランス,K,不動産業，物品賃貸業,2
1995,13,東京都,2,ヨーロッパ州,210,フランス,L,学術研究，専門・技術サービス業,1
1995,13,東京都,2,ヨーロッパ州,210,フランス,M,宿泊業，飲食サービス業,1
1995,13,東京都,2,ヨーロッパ州,210,フランス,N,生活関連サービス業，娯楽業,9
1995,13,東京都,2,ヨーロッパ州,210,フランス,R,サービス業（他に分類されないもの）,1
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,D,建設業,1
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,E,製造業,92
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,G,情報通信業,4
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,H,運輸業，郵便業,9
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,I,卸売業，小売業,95
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,J,金融業，保険業,1
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,K,不動産業，物品賃貸業,3
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,L,学術研究，専門・技術サービス業,3
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,M,宿泊業，飲食サービス業,2
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,N,生活関連サービス業，娯楽業,1
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,R,サービス業（他に分類されないもの）,9
1995,13,東京都,2,ヨーロッパ州,215,スイス,E,製造業,7
1995,13,東京都,2,ヨーロッパ州,215,スイス,G,情報通信業,1
1995,13,東京都,2,ヨーロッパ州,215,スイス,I,卸売業，小売業,10
1995,13,東京都,2,ヨーロッパ州,215,スイス,J,金融業，保険業,2
1995,13,東京都,2,ヨーロッパ州,215,スイス,R,サービス業（他に分類されないもの）,1
1995,13,東京都,2,ヨーロッパ州,217,ポルトガル,E,製造業,3
1995,13,東京都,2,ヨーロッパ州,217,ポルトガル,F,電気・ガス・熱供給・水道業,1
1995,13,東京都,2,ヨーロッパ州,217,ポルトガル,I,卸売業，小売業,4
1995,13,東京都,2,ヨーロッパ州,217,ポルトガル,K,不動産業，物品賃貸業,1
1995,13,東京都,2,ヨーロッパ州,218,スペイン,A,農業，林業,1
1995,13,東京都,2,ヨーロッパ州,218,スペイン,D,建設業,1
1995,13,東京都,2,ヨーロッパ州,218,スペイン,E,製造業,31
1995,13,東京都,2,ヨーロッパ州,218,スペイン,F,電気・ガス・熱供給・水道業,1
1995,13,東京都,2,ヨーロッパ州,218,スペイン,G,情報通信業,1
1995,13,東京都,2,ヨーロッパ州,218,スペイン,H,運輸業，郵便業,3
1995,13,東京都,2,ヨーロッパ州,218,スペイン,I,卸売業，小売業,16
